"","team","elo_rank","massey_rank","colley_rank"
"1","alabama_crimson_tide",26,16,11
"2","alabama_state_lady_hornets",47,3,13
"3","arkansas_razorbacks",10,34,12
"4","belmont_bruins",32,36,24
"5","charleston_cougars",30,9,27
"6","charlotte_49ers",27,20,1
"7","davidson_wildcats",36,27,42
"8","elon_phoenix",34,17,15
"9","florida_gators",6,45,33
"10","florida_gulf_coast_eagles",5,42,44
"11","florida_state_seminoles",23,23,23
"12","freed_hardeman_lions",NA,99,99
"13","furman_paladins",37,7,5
"14","gardner_webb_runnin_bulldogs",43,21,8
"15","georgia_lady_bulldogs",4,37,36
"16","georgia_southern_eagles",14,13,17
"17","georgia_tech_yellow_jackets",7,44,31
"18","high_point_panthers",39,10,45
"19","houston_christian_huskies",46,4,46
"20","houston_cougars",40,15,38
"21","jackson_state_lady_tigers",29,28,43
"22","jacksonville_dolphins",44,8,18
"23","jacksonville_state_gamecocks",15,32,4
"24","little_rock_trojans",24,14,28
"25","louisiana_ragin_cajuns",19,11,9
"26","louisiana_tech_lady_techsters",38,18,26
"27","lsu_tigers",2,43,25
"28","memphis_tigers",25,19,30
"29","mercer_bears",28,2,32
"30","miami_hurricanes",20,25,35
"31","middle_tennessee_blue_raiders",18,38,2
"32","ole_miss_rebels",9,33,6
"33","oral_roberts_golden_eagles",42,12,10
"34","rice_owls",33,1,39
"35","se_louisiana_lady_lions",41,5,47
"36","south_carolina_gamecocks",1,47,14
"37","south_carolina_upstate_spartans",22,29,19
"38","south_florida_bulls",13,41,41
"39","southern_miss_lady_eagles",17,22,22
"40","stephen_f_austin_ladyjacks",11,39,3
"41","stetson_hatters",31,24,29
"42","tennessee_lady_volunteers",3,46,21
"43","tennessee_tech_golden_eagles",35,30,34
"44","troy_trojans",21,35,20
"45","tulane_green_wave",12,31,37
"46","tulsa_golden_hurricane",16,26,40
"47","ucf_knights",8,40,7
"48","wofford_terriers",45,6,16
