"","team","elo_rank","massey_rank","colley_rank"
"1","akron_zips",41,2,15
"2","app_state_mountaineers",39,1,8
"3","austin_peay_governors",19,22,40
"4","ball_state_cardinals",28,10,10
"5","cleveland_state_vikings",16,5,6
"6","coker_cobras",NA,74,74
"7","dayton_flyers",7,24,19
"8","depaul_blue_demons",35,38,27
"9","drake_bulldogs",32,4,3
"10","eastern_illinois_panthers",40,8,31
"11","green_bay_phoenix",22,19,28
"12","illinois_state_redbirds",34,15,39
"13","indiana_hoosiers",6,33,36
"14","iowa_hawkeyes",21,26,32
"15","iowa_state_cyclones",3,40,2
"16","iu_indianapolis_jaguars",8,29,5
"17","kansas_city_roos",13,30,7
"18","kansas_jayhawks",4,31,23
"19","kent_state_golden_flashes",26,12,13
"20","kentucky_wildcats",25,7,24
"21","louisville_cardinals",2,41,4
"22","loyola_chicago_ramblers",36,11,12
"23","marquette_golden_eagles",10,25,30
"24","marshall_thundering_herd",38,3,41
"25","michigan_state_spartans",29,17,9
"26","michigan_wolverines",1,39,35
"27","missouri_state_lady_bears",12,28,37
"28","missouri_tigers",20,23,14
"29","murray_state_racers",24,21,20
"30","northern_iowa_panthers",33,16,1
"31","northern_kentucky_norse",23,27,34
"32","northwestern_wildcats",17,14,25
"33","notre_dame_fighting_irish",18,35,26
"34","ohio_bobcats",31,6,17
"35","ohio_state_buckeyes",5,36,33
"36","purdue_boilermakers",27,13,22
"37","southern_illinois_salukis",30,18,21
"38","toledo_rockets",9,37,38
"39","unc_pembroke_braves",NA,215,215
"40","virginia_tech_hokies",14,34,16
"41","western_kentucky_lady_toppers",15,20,11
"42","western_michigan_broncos",37,9,18
"43","youngstown_state_penguins",11,32,29
