"","team","elo_rank","massey_rank","colley_rank"
"1","abilene_christian_wildcats",30,10,11
"2","air_force_falcons",40,12,3
"3","arizona_wildcats",2,39,2
"4","baylor_bears",5,40,18
"5","byu_cougars",4,43,34
"6","california_baptist_lancers",24,37,40
"7","colorado_buffaloes",10,32,12
"8","colorado_state_rams",14,25,35
"9","creighton_bluejays",11,38,1
"10","gonzaga_bulldogs",13,44,10
"11","grand_canyon_lopes",15,20,45
"12","hawaii_rainbow_wahine",27,15,36
"13","idaho_state_bengals",36,22,24
"14","kansas_state_wildcats",19,34,16
"15","long_beach_state_beach",16,28,8
"16","montana_lady_griz",25,18,6
"17","montana_state_bobcats",31,23,26
"18","nebraska_cornhuskers",12,41,5
"19","nevada_wolf_pack",23,27,4
"20","new_mexico_lobos",7,42,19
"21","north_texas_mean_green",39,7,31
"22","northern_arizona_lumberjacks",37,11,23
"23","oklahoma_sooners",9,45,17
"24","oregon_ducks",32,24,33
"25","portland_pilots",8,26,38
"26","san_diego_toreros",41,13,22
"27","san_francisco_dons",43,16,37
"28","santa_clara_broncos",34,8,41
"29","south_dakota_coyotes",6,36,32
"30","south_dakota_state_jackrabbits",29,31,7
"31","southern_utah_thunderbirds",38,19,25
"32","stanford_cardinal",1,47,43
"33","tarleton_state_texans",42,4,44
"34","texas_am_corpus_christi_islanders",33,17,46
"35","texas_am_international_dustdevils",NA,210,210
"36","texas_longhorns",18,35,21
"37","texas_state_bobcats",45,6,27
"38","uc_davis_aggies",35,2,20
"39","uc_irvine_anteaters",21,21,9
"40","uc_riverside_highlanders",47,1,47
"41","uc_santa_barbara_gauchos",28,14,28
"42","ucla_bruins",22,5,15
"43","unlv_lady_rebels",3,46,14
"44","ut_arlington_mavericks",17,30,29
"45","utah_utes",20,29,13
"46","utah_valley_wolverines",46,3,39
"47","washington_state_cougars",26,33,30
"48","wyoming_cowgirls",44,9,42
