"","team","region","FinalRank","elo_rank"
"64","liberty_flames","East",1,1
"31","drexel_dragons","East",3,2
"123","stony_brook_seawolves","East",6,3
"106","rhode_island_rams","East",7.5,4
"86","nc_state_wolfpack","East",9.5,5
"74","massachusetts_minutewomen","East",15,6
"104","princeton_tigers","East",19.5,7
"24","columbia_lions","East",25,8
"141","uconn_huskies","East",27,9
"131","towson_tigers","East",28,10
"90","north_carolina_tar_heels","East",31,11
"18","campbell_fighting_camels","East",35,12
"34","fairfield_stags","East",44,13
"15","buffalo_bulls","East",46,14
"6","american_university_eagles","East",47,15
"14","bucknell_bison","East",54,16
"28","delaware_blue_hens","East",56,17
