"","team","region","FinalRank","elo_rank"
"112","south_carolina_gamecocks","North",4,1
"71","lsu_tigers","North",9.5,2
"125","tennessee_lady_volunteers","North",14,3
"40","georgia_lady_bulldogs","North",21,4
"36","florida_gulf_coast_eagles","North",22.5,5
"35","florida_gators","North",26,6
"42","georgia_tech_yellow_jackets","North",32,7
"139","ucf_knights","North",33,8
"100","ole_miss_rebels","North",38,9
"9","arkansas_razorbacks","North",41,10
"121","stephen_f_austin_ladyjacks","North",43,11
"133","tulane_green_wave","North",50,12
"116","south_florida_bulls","North",53,13
"41","georgia_southern_eagles","North",55,14
"58","jacksonville_state_gamecocks","North",58,15
"134","tulsa_golden_hurricane","North",61,16
"118","southern_miss_lady_eagles","North",64,17
"80","middle_tennessee_blue_raiders","North",67,18
"67","louisiana_ragin_cajuns","North",73,19
"77","miami_hurricanes","North",74,20
"132","troy_trojans","North",77.5,21
"113","south_carolina_upstate_spartans","North",80,22
"37","florida_state_seminoles","North",82,23
"65","little_rock_trojans","North",83,24
"75","memphis_tigers","North",89.5,25
"4","alabama_crimson_tide","North",91,26
"20","charlotte_49ers","North",100,27
"76","mercer_bears","North",101,28
"56","jackson_state_lady_tigers","North",105.5,29
"19","charleston_cougars","North",109,30
"122","stetson_hatters","North",110,31
"13","belmont_bruins","North",111,32
"107","rice_owls","North",112,33
"33","elon_phoenix","North",113,34
"126","tennessee_tech_golden_eagles","North",119,35
"26","davidson_wildcats","North",122,36
"38","furman_paladins","North",124,37
"68","louisiana_tech_lady_techsters","North",126.5,38
"47","high_point_panthers","North",129,39
"49","houston_cougars","North",131.5,40
"111","se_louisiana_lady_lions","North",135,41
"101","oral_roberts_golden_eagles","North",136,42
"39","gardner_webb_runnin_bulldogs","North",139,43
"57","jacksonville_dolphins","North",145,44
"150","wofford_terriers","North",146,45
"48","houston_christian_huskies","North",150,46
"5","alabama_state_lady_hornets","North",152,47
