"","Team","region","FinalRank","colley_rank"
"47","charlotte_49ers","North",3,1
"169","middle_tennessee_blue_raiders","North",8,2
"282","stephen_f_austin_ladyjacks","North",11,3
"128","jacksonville_state_gamecocks","North",16,4
"92","furman_paladins","North",25,5
"218","ole_miss_rebels","North",26,6
"311","ucf_knights","North",28,7
"93","gardner_webb_runnin_bulldogs","North",47,8
"146","louisiana_ragin_cajuns","North",49,9
"220","oral_roberts_golden_eagles","North",50,10
"5","alabama_crimson_tide","North",53,11
"12","arkansas_razorbacks","North",54,12
"6","alabama_state_lady_hornets","North",81,13
"265","south_carolina_gamecocks","North",83,14
"79","elon_phoenix","North",91,15
"353","wofford_terriers","North",100,16
"98","georgia_southern_eagles","North",107,17
"127","jacksonville_dolphins","North",114,18
"267","south_carolina_upstate_spartans","North",127,19
"301","troy_trojans","North",129,20
"289","tennessee_lady_volunteers","North",135,21
"274","southern_miss_lady_eagles","North",145,22
"88","florida_state_seminoles","North",152,23
"20","belmont_bruins","North",156,24
"152","lsu_tigers","North",168,25
"147","louisiana_tech_lady_techsters","North",178,26
"45","charleston_cougars","North",179,27
"142","little_rock_trojans","North",190,28
"283","stetson_hatters","North",198,29
"162","memphis_tigers","North",206,30
"100","georgia_tech_yellow_jackets","North",218,31
"163","mercer_bears","North",221,32
"85","florida_gators","North",222,33
"291","tennessee_tech_golden_eagles","North",229,34
"165","miami_hurricanes","North",231,35
"97","georgia_lady_bulldogs","North",243,36
"302","tulane_green_wave","North",245,37
"113","houston_cougars","North",251,38
"240","rice_owls","North",263,39
"303","tulsa_golden_hurricane","North",270,40
"270","south_florida_bulls","North",273,41
"63","davidson_wildcats","North",283,42
"126","jackson_state_lady_tigers","North",295,43
"86","florida_gulf_coast_eagles","North",317,44
"109","high_point_panthers","North",328,45
"112","houston_christian_huskies","North",331,46
"258","se_louisiana_lady_lions","North",332,47
"NA",NA,NA,NA,48
"NA.1",NA,NA,NA,49
"NA.2",NA,NA,NA,50
"NA.3",NA,NA,NA,51
"NA.4",NA,NA,NA,52
"NA.5",NA,NA,NA,53
"NA.6",NA,NA,NA,54
"NA.7",NA,NA,NA,55
"NA.8",NA,NA,NA,56
"NA.9",NA,NA,NA,57
"NA.10",NA,NA,NA,58
"NA.11",NA,NA,NA,59
"NA.12",NA,NA,NA,60
"NA.13",NA,NA,NA,61
"NA.14",NA,NA,NA,62
"NA.15",NA,NA,NA,63
"NA.16",NA,NA,NA,64
"NA.17",NA,NA,NA,65
"NA.18",NA,NA,NA,66
"NA.19",NA,NA,NA,67
"NA.20",NA,NA,NA,68
"NA.21",NA,NA,NA,69
"NA.22",NA,NA,NA,70
"NA.23",NA,NA,NA,71
"NA.24",NA,NA,NA,72
"NA.25",NA,NA,NA,73
"NA.26",NA,NA,NA,74
"NA.27",NA,NA,NA,75
"NA.28",NA,NA,NA,76
"NA.29",NA,NA,NA,77
"NA.30",NA,NA,NA,78
"NA.31",NA,NA,NA,79
"NA.32",NA,NA,NA,80
"NA.33",NA,NA,NA,81
"NA.34",NA,NA,NA,82
"NA.35",NA,NA,NA,83
"NA.36",NA,NA,NA,84
"NA.37",NA,NA,NA,85
"NA.38",NA,NA,NA,86
"NA.39",NA,NA,NA,87
"NA.40",NA,NA,NA,88
"NA.41",NA,NA,NA,89
"NA.42",NA,NA,NA,90
"NA.43",NA,NA,NA,91
"NA.44",NA,NA,NA,92
"NA.45",NA,NA,NA,93
"NA.46",NA,NA,NA,94
"NA.47",NA,NA,NA,95
"NA.48",NA,NA,NA,96
"NA.49",NA,NA,NA,97
"NA.50",NA,NA,NA,98
"90","freed_hardeman_lions","North",NA,99
"NA.51",NA,NA,NA,100
"NA.52",NA,NA,NA,101
"NA.53",NA,NA,NA,102
"NA.54",NA,NA,NA,103
"NA.55",NA,NA,NA,104
"NA.56",NA,NA,NA,105
"NA.57",NA,NA,NA,106
"NA.58",NA,NA,NA,107
"NA.59",NA,NA,NA,108
"NA.60",NA,NA,NA,109
"NA.61",NA,NA,NA,110
"NA.62",NA,NA,NA,111
"NA.63",NA,NA,NA,112
"NA.64",NA,NA,NA,113
"NA.65",NA,NA,NA,114
"NA.66",NA,NA,NA,115
"NA.67",NA,NA,NA,116
"NA.68",NA,NA,NA,117
"NA.69",NA,NA,NA,118
"NA.70",NA,NA,NA,119
"NA.71",NA,NA,NA,120
"NA.72",NA,NA,NA,121
"NA.73",NA,NA,NA,122
"NA.74",NA,NA,NA,123
"NA.75",NA,NA,NA,124
"NA.76",NA,NA,NA,125
"NA.77",NA,NA,NA,126
"NA.78",NA,NA,NA,127
"NA.79",NA,NA,NA,128
"NA.80",NA,NA,NA,129
"NA.81",NA,NA,NA,130
"NA.82",NA,NA,NA,131
"NA.83",NA,NA,NA,132
"NA.84",NA,NA,NA,133
"NA.85",NA,NA,NA,134
"NA.86",NA,NA,NA,135
"NA.87",NA,NA,NA,136
"NA.88",NA,NA,NA,137
"NA.89",NA,NA,NA,138
"NA.90",NA,NA,NA,139
"NA.91",NA,NA,NA,140
"NA.92",NA,NA,NA,141
"NA.93",NA,NA,NA,142
"NA.94",NA,NA,NA,143
"NA.95",NA,NA,NA,144
"NA.96",NA,NA,NA,145
"NA.97",NA,NA,NA,146
"NA.98",NA,NA,NA,147
"NA.99",NA,NA,NA,148
"NA.100",NA,NA,NA,149
"NA.101",NA,NA,NA,150
"NA.102",NA,NA,NA,151
"NA.103",NA,NA,NA,152
"NA.104",NA,NA,NA,153
"NA.105",NA,NA,NA,154
"NA.106",NA,NA,NA,155
"NA.107",NA,NA,NA,156
"NA.108",NA,NA,NA,157
"NA.109",NA,NA,NA,158
"NA.110",NA,NA,NA,159
"NA.111",NA,NA,NA,160
"NA.112",NA,NA,NA,161
"NA.113",NA,NA,NA,162
"NA.114",NA,NA,NA,163
"NA.115",NA,NA,NA,164
"NA.116",NA,NA,NA,165
"NA.117",NA,NA,NA,166
"NA.118",NA,NA,NA,167
"NA.119",NA,NA,NA,168
"NA.120",NA,NA,NA,169
"NA.121",NA,NA,NA,170
"NA.122",NA,NA,NA,171
"NA.123",NA,NA,NA,172
"NA.124",NA,NA,NA,173
"NA.125",NA,NA,NA,174
"NA.126",NA,NA,NA,175
"NA.127",NA,NA,NA,176
"NA.128",NA,NA,NA,177
"NA.129",NA,NA,NA,178
"NA.130",NA,NA,NA,179
"NA.131",NA,NA,NA,180
"NA.132",NA,NA,NA,181
"NA.133",NA,NA,NA,182
"NA.134",NA,NA,NA,183
"NA.135",NA,NA,NA,184
"NA.136",NA,NA,NA,185
"NA.137",NA,NA,NA,186
"NA.138",NA,NA,NA,187
"NA.139",NA,NA,NA,188
"NA.140",NA,NA,NA,189
"NA.141",NA,NA,NA,190
"NA.142",NA,NA,NA,191
"NA.143",NA,NA,NA,192
"NA.144",NA,NA,NA,193
"NA.145",NA,NA,NA,194
"NA.146",NA,NA,NA,195
"NA.147",NA,NA,NA,196
"NA.148",NA,NA,NA,197
"NA.149",NA,NA,NA,198
"NA.150",NA,NA,NA,199
"NA.151",NA,NA,NA,200
"NA.152",NA,NA,NA,201
"NA.153",NA,NA,NA,202
"NA.154",NA,NA,NA,203
"NA.155",NA,NA,NA,204
"NA.156",NA,NA,NA,205
"NA.157",NA,NA,NA,206
"NA.158",NA,NA,NA,207
"NA.159",NA,NA,NA,208
