"","Team","region","FinalRank","colley_rank"
"61","creighton_bluejays","West",5,1
"10","arizona_wildcats","West",9,2
"2","air_force_falcons","West",12,3
"185","nevada_wolf_pack","West",15,4
"184","nebraska_cornhuskers","West",20,5
"177","montana_lady_griz","West",27,6
"269","south_dakota_state_jackrabbits","West",29,7
"143","long_beach_state_beach","West",30,8
"307","uc_irvine_anteaters","West",40,9
"101","gonzaga_bulldogs","West",41,10
"1","abilene_christian_wildcats","West",51,11
"56","colorado_buffaloes","West",62,12
"328","utah_utes","West",63,13
"321","unlv_lady_rebels","West",74,14
"312","ucla_bruins","West",78,15
"132","kansas_state_wildcats","West",89,16
"215","oklahoma_sooners","West",103,17
"18","baylor_bears","West",105,18
"187","new_mexico_lobos","West",112,19
"306","uc_davis_aggies","West",123,20
"295","texas_longhorns","West",141,21
"254","san_diego_toreros","West",142,22
"204","northern_arizona_lumberjacks","West",158,23
"115","idaho_state_bengals","West",160,24
"275","southern_utah_thunderbirds","West",161,25
"178","montana_state_bobcats","West",162,26
"297","texas_state_bobcats","West",166,27
"310","uc_santa_barbara_gauchos","West",167,28
"323","ut_arlington_mavericks","West",172,29
"342","washington_state_cougars","West",175,30
"202","north_texas_mean_green","West",185,31
"268","south_dakota_coyotes","West",201,32
"221","oregon_ducks","West",208,33
"33","byu_cougars","West",209,34
"57","colorado_state_rams","West",213,35
"108","hawaii_rainbow_wahine","West",220,36
"255","san_francisco_dons","West",224,37
"228","portland_pilots","West",252,38
"329","utah_valley_wolverines","West",255,39
"38","california_baptist_lancers","West",261,40
"257","santa_clara_broncos","West",265,41
"355","wyoming_cowgirls","West",272,42
"281","stanford_cardinal","West",274,43
"286","tarleton_state_texans","West",277,44
"103","grand_canyon_lopes","West",291,45
"293","texas_am_corpus_christi_islanders","West",319,46
"308","uc_riverside_highlanders","West",339,47
"NA",NA,NA,NA,48
"NA.1",NA,NA,NA,49
"NA.2",NA,NA,NA,50
"NA.3",NA,NA,NA,51
"NA.4",NA,NA,NA,52
"NA.5",NA,NA,NA,53
"NA.6",NA,NA,NA,54
"NA.7",NA,NA,NA,55
"NA.8",NA,NA,NA,56
"NA.9",NA,NA,NA,57
"NA.10",NA,NA,NA,58
"NA.11",NA,NA,NA,59
"NA.12",NA,NA,NA,60
"NA.13",NA,NA,NA,61
"NA.14",NA,NA,NA,62
"NA.15",NA,NA,NA,63
"NA.16",NA,NA,NA,64
"NA.17",NA,NA,NA,65
"NA.18",NA,NA,NA,66
"NA.19",NA,NA,NA,67
"NA.20",NA,NA,NA,68
"NA.21",NA,NA,NA,69
"NA.22",NA,NA,NA,70
"NA.23",NA,NA,NA,71
"NA.24",NA,NA,NA,72
"NA.25",NA,NA,NA,73
"NA.26",NA,NA,NA,74
"NA.27",NA,NA,NA,75
"NA.28",NA,NA,NA,76
"NA.29",NA,NA,NA,77
"NA.30",NA,NA,NA,78
"NA.31",NA,NA,NA,79
"NA.32",NA,NA,NA,80
"NA.33",NA,NA,NA,81
"NA.34",NA,NA,NA,82
"NA.35",NA,NA,NA,83
"NA.36",NA,NA,NA,84
"NA.37",NA,NA,NA,85
"NA.38",NA,NA,NA,86
"NA.39",NA,NA,NA,87
"NA.40",NA,NA,NA,88
"NA.41",NA,NA,NA,89
"NA.42",NA,NA,NA,90
"NA.43",NA,NA,NA,91
"NA.44",NA,NA,NA,92
"NA.45",NA,NA,NA,93
"NA.46",NA,NA,NA,94
"NA.47",NA,NA,NA,95
"NA.48",NA,NA,NA,96
"NA.49",NA,NA,NA,97
"NA.50",NA,NA,NA,98
"NA.51",NA,NA,NA,99
"NA.52",NA,NA,NA,100
"NA.53",NA,NA,NA,101
"NA.54",NA,NA,NA,102
"NA.55",NA,NA,NA,103
"NA.56",NA,NA,NA,104
"NA.57",NA,NA,NA,105
"NA.58",NA,NA,NA,106
"NA.59",NA,NA,NA,107
"NA.60",NA,NA,NA,108
"NA.61",NA,NA,NA,109
"NA.62",NA,NA,NA,110
"NA.63",NA,NA,NA,111
"NA.64",NA,NA,NA,112
"NA.65",NA,NA,NA,113
"NA.66",NA,NA,NA,114
"NA.67",NA,NA,NA,115
"NA.68",NA,NA,NA,116
"NA.69",NA,NA,NA,117
"NA.70",NA,NA,NA,118
"NA.71",NA,NA,NA,119
"NA.72",NA,NA,NA,120
"NA.73",NA,NA,NA,121
"NA.74",NA,NA,NA,122
"NA.75",NA,NA,NA,123
"NA.76",NA,NA,NA,124
"NA.77",NA,NA,NA,125
"NA.78",NA,NA,NA,126
"NA.79",NA,NA,NA,127
"NA.80",NA,NA,NA,128
"NA.81",NA,NA,NA,129
"NA.82",NA,NA,NA,130
"NA.83",NA,NA,NA,131
"NA.84",NA,NA,NA,132
"NA.85",NA,NA,NA,133
"NA.86",NA,NA,NA,134
"NA.87",NA,NA,NA,135
"NA.88",NA,NA,NA,136
"NA.89",NA,NA,NA,137
"NA.90",NA,NA,NA,138
"NA.91",NA,NA,NA,139
"NA.92",NA,NA,NA,140
"NA.93",NA,NA,NA,141
"NA.94",NA,NA,NA,142
"NA.95",NA,NA,NA,143
"NA.96",NA,NA,NA,144
"NA.97",NA,NA,NA,145
"NA.98",NA,NA,NA,146
"NA.99",NA,NA,NA,147
