"","Team","region","FinalRank","massey_rank"
"300","towson_tigers","East",273,1
"7","american_university_eagles","East",275,2
"40","campbell_fighting_camels","East",278,3
"232","princeton_tigers","East",285,4
"65","delaware_blue_hens","East",300,5
"30","bucknell_bison","East",301,6
"58","columbia_lions","East",306,7
"197","north_carolina_tar_heels","East",308,8
"198","north_carolina_tar_heels","East",308,9
"31","buffalo_bulls","East",309,10
"313","uconn_huskies","East",311,11
"81","fairfield_stags","East",316,12
"70","drexel_dragons","East",327,13
"140","liberty_flames","East",338,14
"160","massachusetts_minutewomen","East",339,15
"238","rhode_island_rams","East",344,16
"239","rhode_island_rams","East",344,17
"284","stony_brook_seawolves","East",346,18
"183","nc_state_wolfpack","East",352,19
"NA",NA,NA,NA,20
"NA.1",NA,NA,NA,21
"NA.2",NA,NA,NA,22
"NA.3",NA,NA,NA,23
"NA.4",NA,NA,NA,24
"NA.5",NA,NA,NA,25
"NA.6",NA,NA,NA,26
"NA.7",NA,NA,NA,27
"NA.8",NA,NA,NA,28
"NA.9",NA,NA,NA,29
"NA.10",NA,NA,NA,30
"NA.11",NA,NA,NA,31
"NA.12",NA,NA,NA,32
"NA.13",NA,NA,NA,33
"NA.14",NA,NA,NA,34
"NA.15",NA,NA,NA,35
"NA.16",NA,NA,NA,36
"NA.17",NA,NA,NA,37
"NA.18",NA,NA,NA,38
"NA.19",NA,NA,NA,39
"NA.20",NA,NA,NA,40
"NA.21",NA,NA,NA,41
"NA.22",NA,NA,NA,42
"NA.23",NA,NA,NA,43
"NA.24",NA,NA,NA,44
"NA.25",NA,NA,NA,45
"NA.26",NA,NA,NA,46
"NA.27",NA,NA,NA,47
"NA.28",NA,NA,NA,48
"NA.29",NA,NA,NA,49
"NA.30",NA,NA,NA,50
"NA.31",NA,NA,NA,51
"NA.32",NA,NA,NA,52
"NA.33",NA,NA,NA,53
"NA.34",NA,NA,NA,54
"NA.35",NA,NA,NA,55
"NA.36",NA,NA,NA,56
"NA.37",NA,NA,NA,57
"NA.38",NA,NA,NA,58
"NA.39",NA,NA,NA,59
"NA.40",NA,NA,NA,60
"NA.41",NA,NA,NA,61
"NA.42",NA,NA,NA,62
"NA.43",NA,NA,NA,63
"NA.44",NA,NA,NA,64
"NA.45",NA,NA,NA,65
"NA.46",NA,NA,NA,66
"NA.47",NA,NA,NA,67
"NA.48",NA,NA,NA,68
"NA.49",NA,NA,NA,69
"NA.50",NA,NA,NA,70
"NA.51",NA,NA,NA,71
"NA.52",NA,NA,NA,72
"NA.53",NA,NA,NA,73
"NA.54",NA,NA,NA,74
"NA.55",NA,NA,NA,75
"NA.56",NA,NA,NA,76
"NA.57",NA,NA,NA,77
"NA.58",NA,NA,NA,78
"NA.59",NA,NA,NA,79
"NA.60",NA,NA,NA,80
"NA.61",NA,NA,NA,81
"NA.62",NA,NA,NA,82
"NA.63",NA,NA,NA,83
"NA.64",NA,NA,NA,84
"NA.65",NA,NA,NA,85
"NA.66",NA,NA,NA,86
"NA.67",NA,NA,NA,87
"NA.68",NA,NA,NA,88
"NA.69",NA,NA,NA,89
"NA.70",NA,NA,NA,90
"NA.71",NA,NA,NA,91
"NA.72",NA,NA,NA,92
"NA.73",NA,NA,NA,93
"NA.74",NA,NA,NA,94
"NA.75",NA,NA,NA,95
"NA.76",NA,NA,NA,96
"NA.77",NA,NA,NA,97
"NA.78",NA,NA,NA,98
"NA.79",NA,NA,NA,99
