"","Team","region","FinalRank","massey_rank"
"8","app_state_mountaineers","South",145,1
"3","akron_zips","South",149,2
"157","marshall_thundering_herd","South",168,3
"69","drake_bulldogs","South",173,4
"52","cleveland_state_vikings","South",178,5
"213","ohio_bobcats","South",182,6
"135","kentucky_wildcats","South",186,7
"75","eastern_illinois_panthers","South",193,8
"348","western_michigan_broncos","South",205,9
"17","ball_state_cardinals","South",228,10
"149","loyola_chicago_ramblers","South",229,11
"134","kent_state_golden_flashes","South",230,12
"234","purdue_boilermakers","South",231,13
"210","northwestern_wildcats","South",234,14
"118","illinois_state_redbirds","South",241,15
"207","northern_iowa_panthers","South",249,16
"167","michigan_state_spartans","South",252,17
"272","southern_illinois_salukis","South",253,18
"104","green_bay_phoenix","South",258,19
"347","western_kentucky_lady_toppers","South",271,20
"181","murray_state_racers","South",274,21
"16","austin_peay_governors","South",280,22
"175","missouri_tigers","South",288,23
"64","dayton_flyers","South",289,24
"156","marquette_golden_eagles","South",295,25
"123","iowa_hawkeyes","South",297,26
"208","northern_kentucky_norse","South",298,27
"174","missouri_state_lady_bears","South",313,28
"125","iu_indianapolis_jaguars","South",320,29
"130","kansas_city_roos","South",321,30
"131","kansas_jayhawks","South",323,31
"358","youngstown_state_penguins","South",325,32
"120","indiana_hoosiers","South",326,33
"338","virginia_tech_hokies","South",329,34
"211","notre_dame_fighting_irish","South",332,35
"214","ohio_state_buckeyes","South",334,36
"299","toledo_rockets","South",337,37
"67","depaul_blue_demons","South",342,38
"168","michigan_wolverines","South",343,39
"124","iowa_state_cyclones","South",345,40
"148","louisville_cardinals","South",350,41
"NA",NA,NA,NA,42
"NA.1",NA,NA,NA,43
"NA.2",NA,NA,NA,44
"NA.3",NA,NA,NA,45
"NA.4",NA,NA,NA,46
"NA.5",NA,NA,NA,47
"NA.6",NA,NA,NA,48
"NA.7",NA,NA,NA,49
"NA.8",NA,NA,NA,50
"NA.9",NA,NA,NA,51
"NA.10",NA,NA,NA,52
"NA.11",NA,NA,NA,53
"NA.12",NA,NA,NA,54
"NA.13",NA,NA,NA,55
"NA.14",NA,NA,NA,56
"NA.15",NA,NA,NA,57
"NA.16",NA,NA,NA,58
"NA.17",NA,NA,NA,59
"NA.18",NA,NA,NA,60
"NA.19",NA,NA,NA,61
"NA.20",NA,NA,NA,62
"NA.21",NA,NA,NA,63
"NA.22",NA,NA,NA,64
"NA.23",NA,NA,NA,65
"NA.24",NA,NA,NA,66
"NA.25",NA,NA,NA,67
"NA.26",NA,NA,NA,68
"NA.27",NA,NA,NA,69
"NA.28",NA,NA,NA,70
"NA.29",NA,NA,NA,71
"NA.30",NA,NA,NA,72
"NA.31",NA,NA,NA,73
"54","coker_cobras","South",NA,74
"NA.32",NA,NA,NA,75
"NA.33",NA,NA,NA,76
"NA.34",NA,NA,NA,77
"NA.35",NA,NA,NA,78
"NA.36",NA,NA,NA,79
"NA.37",NA,NA,NA,80
"NA.38",NA,NA,NA,81
"NA.39",NA,NA,NA,82
"NA.40",NA,NA,NA,83
"NA.41",NA,NA,NA,84
"NA.42",NA,NA,NA,85
"NA.43",NA,NA,NA,86
"NA.44",NA,NA,NA,87
"NA.45",NA,NA,NA,88
"NA.46",NA,NA,NA,89
"NA.47",NA,NA,NA,90
"NA.48",NA,NA,NA,91
"NA.49",NA,NA,NA,92
"NA.50",NA,NA,NA,93
"NA.51",NA,NA,NA,94
"NA.52",NA,NA,NA,95
"NA.53",NA,NA,NA,96
"NA.54",NA,NA,NA,97
"NA.55",NA,NA,NA,98
"NA.56",NA,NA,NA,99
"NA.57",NA,NA,NA,100
"NA.58",NA,NA,NA,101
"NA.59",NA,NA,NA,102
"NA.60",NA,NA,NA,103
"NA.61",NA,NA,NA,104
"NA.62",NA,NA,NA,105
"NA.63",NA,NA,NA,106
"NA.64",NA,NA,NA,107
"NA.65",NA,NA,NA,108
"NA.66",NA,NA,NA,109
"NA.67",NA,NA,NA,110
"NA.68",NA,NA,NA,111
"NA.69",NA,NA,NA,112
"NA.70",NA,NA,NA,113
"NA.71",NA,NA,NA,114
"NA.72",NA,NA,NA,115
"NA.73",NA,NA,NA,116
"NA.74",NA,NA,NA,117
"NA.75",NA,NA,NA,118
"NA.76",NA,NA,NA,119
"NA.77",NA,NA,NA,120
"NA.78",NA,NA,NA,121
"NA.79",NA,NA,NA,122
"NA.80",NA,NA,NA,123
"NA.81",NA,NA,NA,124
"NA.82",NA,NA,NA,125
"NA.83",NA,NA,NA,126
"NA.84",NA,NA,NA,127
"NA.85",NA,NA,NA,128
"NA.86",NA,NA,NA,129
"NA.87",NA,NA,NA,130
"NA.88",NA,NA,NA,131
"NA.89",NA,NA,NA,132
"NA.90",NA,NA,NA,133
"NA.91",NA,NA,NA,134
"NA.92",NA,NA,NA,135
"NA.93",NA,NA,NA,136
"NA.94",NA,NA,NA,137
"NA.95",NA,NA,NA,138
"NA.96",NA,NA,NA,139
"NA.97",NA,NA,NA,140
"NA.98",NA,NA,NA,141
"NA.99",NA,NA,NA,142
"NA.100",NA,NA,NA,143
"NA.101",NA,NA,NA,144
"NA.102",NA,NA,NA,145
"NA.103",NA,NA,NA,146
"NA.104",NA,NA,NA,147
"NA.105",NA,NA,NA,148
"NA.106",NA,NA,NA,149
"NA.107",NA,NA,NA,150
"NA.108",NA,NA,NA,151
"NA.109",NA,NA,NA,152
"NA.110",NA,NA,NA,153
"NA.111",NA,NA,NA,154
"NA.112",NA,NA,NA,155
"NA.113",NA,NA,NA,156
"NA.114",NA,NA,NA,157
"NA.115",NA,NA,NA,158
"NA.116",NA,NA,NA,159
"NA.117",NA,NA,NA,160
"NA.118",NA,NA,NA,161
"NA.119",NA,NA,NA,162
"NA.120",NA,NA,NA,163
"NA.121",NA,NA,NA,164
"NA.122",NA,NA,NA,165
"NA.123",NA,NA,NA,166
"NA.124",NA,NA,NA,167
"NA.125",NA,NA,NA,168
"NA.126",NA,NA,NA,169
"NA.127",NA,NA,NA,170
"NA.128",NA,NA,NA,171
"NA.129",NA,NA,NA,172
"NA.130",NA,NA,NA,173
"NA.131",NA,NA,NA,174
"NA.132",NA,NA,NA,175
