"","Team","region","FinalRank","massey_rank"
"308","uc_riverside_highlanders","West",61,1
"306","uc_davis_aggies","West",131,2
"329","utah_valley_wolverines","West",139,3
"286","tarleton_state_texans","West",140,4
"312","ucla_bruins","West",147,5
"297","texas_state_bobcats","West",153,6
"202","north_texas_mean_green","West",157,7
"257","santa_clara_broncos","West",164,8
"355","wyoming_cowgirls","West",165,9
"1","abilene_christian_wildcats","West",177,10
"204","northern_arizona_lumberjacks","West",191,11
"2","air_force_falcons","West",200,12
"254","san_diego_toreros","West",209,13
"310","uc_santa_barbara_gauchos","West",211,14
"108","hawaii_rainbow_wahine","West",218,15
"255","san_francisco_dons","West",219,16
"293","texas_am_corpus_christi_islanders","West",221,17
"177","montana_lady_griz","West",223,18
"275","southern_utah_thunderbirds","West",236,19
"103","grand_canyon_lopes","West",245,20
"307","uc_irvine_anteaters","West",251,21
"115","idaho_state_bengals","West",256,22
"178","montana_state_bobcats","West",257,23
"221","oregon_ducks","West",260,24
"57","colorado_state_rams","West",261,25
"228","portland_pilots","West",263,26
"185","nevada_wolf_pack","West",265,27
"143","long_beach_state_beach","West",266,28
"328","utah_utes","West",270,29
"323","ut_arlington_mavericks","West",277,30
"269","south_dakota_state_jackrabbits","West",283,31
"56","colorado_buffaloes","West",287,32
"342","washington_state_cougars","West",294,33
"132","kansas_state_wildcats","West",307,34
"295","texas_longhorns","West",310,35
"268","south_dakota_coyotes","West",312,36
"38","california_baptist_lancers","West",314,37
"61","creighton_bluejays","West",318,38
"10","arizona_wildcats","West",319,39
"18","baylor_bears","West",322,40
"184","nebraska_cornhuskers","West",328,41
"187","new_mexico_lobos","West",330,42
"33","byu_cougars","West",333,43
"101","gonzaga_bulldogs","West",340,44
"215","oklahoma_sooners","West",341,45
"321","unlv_lady_rebels","West",347,46
"281","stanford_cardinal","West",349,47
"NA",NA,NA,NA,48
"NA.1",NA,NA,NA,49
"NA.2",NA,NA,NA,50
"NA.3",NA,NA,NA,51
"NA.4",NA,NA,NA,52
"NA.5",NA,NA,NA,53
"NA.6",NA,NA,NA,54
"NA.7",NA,NA,NA,55
"NA.8",NA,NA,NA,56
"NA.9",NA,NA,NA,57
"NA.10",NA,NA,NA,58
"NA.11",NA,NA,NA,59
"NA.12",NA,NA,NA,60
"NA.13",NA,NA,NA,61
"NA.14",NA,NA,NA,62
"NA.15",NA,NA,NA,63
"NA.16",NA,NA,NA,64
"NA.17",NA,NA,NA,65
"NA.18",NA,NA,NA,66
"NA.19",NA,NA,NA,67
"NA.20",NA,NA,NA,68
"NA.21",NA,NA,NA,69
"NA.22",NA,NA,NA,70
"NA.23",NA,NA,NA,71
"NA.24",NA,NA,NA,72
"NA.25",NA,NA,NA,73
"NA.26",NA,NA,NA,74
"NA.27",NA,NA,NA,75
"NA.28",NA,NA,NA,76
"NA.29",NA,NA,NA,77
"NA.30",NA,NA,NA,78
"NA.31",NA,NA,NA,79
"NA.32",NA,NA,NA,80
"NA.33",NA,NA,NA,81
"NA.34",NA,NA,NA,82
"NA.35",NA,NA,NA,83
"NA.36",NA,NA,NA,84
"NA.37",NA,NA,NA,85
"NA.38",NA,NA,NA,86
