"","game_id","Wteam_name","Lteam_name","Wscore","Lscore","region"
"1","game_2022_1","texas_am_aggies","texas_am_aggies",87,54,NA
"2","game_2022_10","james_madison_dukes","james_madison_dukes",84,69,NA
"3","game_2022_100","charlotte_49ers","charlotte_49ers",63,45,"North"
"4","game_2022_1000","bucknell_bison","bucknell_bison",64,59,"East"
"5","game_2022_1001","creighton_bluejays","creighton_bluejays",79,72,"West"
"6","game_2022_1002","temple_owls","temple_owls",68,62,NA
"7","game_2022_1003","xavier_musketeers","xavier_musketeers",73,60,NA
"8","game_2022_1004","middle_tennessee_blue_raiders","middle_tennessee_blue_raiders",62,52,NA
"9","game_2022_1005","arizona_wildcats","arizona_wildcats",80,44,"West"
"10","game_2022_1006","presbyterian_blue_hose","presbyterian_blue_hose",62,54,"North"
"11","game_2022_1008","stephen_f_austin_ladyjacks","stephen_f_austin_ladyjacks",87,66,"South"
"12","game_2022_1009","air_force_falcons","air_force_falcons",54,41,"West"
"13","game_2022_101","northern_iowa_panthers","northern_iowa_panthers",63,54,"South"
"14","game_2022_1010","liberty_flames","liberty_flames",63,42,"East"
"15","game_2022_1011","nevada_wolf_pack","nevada_wolf_pack",61,60,NA
"16","game_2022_1012","jacksonville_state_gamecocks","jacksonville_state_gamecocks",75,43,"North"
"17","game_2022_1013","massachusetts_minutewomen","massachusetts_minutewomen",72,64,"South"
"18","game_2022_1014","iowa_state_cyclones","iowa_state_cyclones",93,59,"South"
"19","game_2022_1015","drexel_dragons","drexel_dragons",63,46,"East"
"20","game_2022_1016","nebraska_cornhuskers","nebraska_cornhuskers",64,56,"West"
"21","game_2022_1017","drake_bulldogs","drake_bulldogs",84,60,"South"
"22","game_2022_1018","sacramento_state_hornets","sacramento_state_hornets",65,63,"South"
"23","game_2022_1019","indiana_state_sycamores","indiana_state_sycamores",71,67,"North"
"24","game_2022_1020","florida_international_panthers","florida_international_panthers",67,60,NA
"25","game_2022_1021","furman_paladins","furman_paladins",71,62,"North"
"26","game_2022_1022","ole_miss_rebels","ole_miss_rebels",64,45,NA
"27","game_2022_1023","montana_lady_griz","montana_lady_griz",80,45,"West"
"28","game_2022_1024","ucf_knights","ucf_knights",56,47,"North"
"29","game_2022_1025","south_dakota_state_jackrabbits","south_dakota_state_jackrabbits",76,66,"West"
"30","game_2022_1026","charlotte_49ers","charlotte_49ers",82,64,"North"
"31","game_2022_1027","long_beach_state_beach","long_beach_state_beach",64,52,"West"
"32","game_2022_1028","clemson_tigers","clemson_tigers",83,59,NA
"33","game_2022_1029","duke_blue_devils","duke_blue_devils",91,75,NA
"34","game_2022_1030","richmond_spiders","richmond_spiders",74,65,NA
"35","game_2022_1031","boston_college_eagles","boston_college_eagles",77,65,NA
"36","game_2022_1032","louisville_cardinals","louisville_cardinals",71,56,"West"
"37","game_2022_1033","syracuse_orange","syracuse_orange",79,57,NA
"38","game_2022_1035","stony_brook_seawolves","stony_brook_seawolves",71,64,NA
"39","game_2022_1036","wagner_seahawks","wagner_seahawks",70,48,NA
"40","game_2022_1037","princeton_tigers","princeton_tigers",82,43,NA
"41","game_2022_1038","uc_irvine_anteaters","uc_irvine_anteaters",58,51,NA
"42","game_2022_1039","gonzaga_bulldogs","gonzaga_bulldogs",68,49,"West"
"43","game_2022_104","saint_josephs_hawks","saint_josephs_hawks",84,49,NA
"44","game_2022_1040","quinnipiac_bobcats","quinnipiac_bobcats",113,64,NA
"45","game_2022_1041","central_michigan_chippewas","central_michigan_chippewas",56,50,NA
"46","game_2022_1042","manhattan_jaspers","manhattan_jaspers",69,55,NA
"47","game_2022_1043","yale_bulldogs","yale_bulldogs",71,64,"East"
"48","game_2022_1044","gardner_webb_runnin_bulldogs","gardner_webb_runnin_bulldogs",65,63,"North"
"49","game_2022_1045","coastal_carolina_chanticleers","coastal_carolina_chanticleers",55,41,NA
"50","game_2022_1046","louisiana_ragin_cajuns","louisiana_ragin_cajuns",67,57,"North"
"51","game_2022_1047","oral_roberts_golden_eagles","oral_roberts_golden_eagles",74,56,"North"
"52","game_2022_1048","abilene_christian_wildcats","abilene_christian_wildcats",81,69,"West"
"53","game_2022_1049","longwood_lancers","longwood_lancers",62,59,NA
"54","game_2022_105","massachusetts_minutewomen","massachusetts_minutewomen",87,50,NA
"55","game_2022_1050","alabama_crimson_tide","alabama_crimson_tide",89,45,"North"
"56","game_2022_1051","arkansas_razorbacks","arkansas_razorbacks",83,63,"North"
"57","game_2022_1052","iu_indianapolis_jaguars","iu_indianapolis_jaguars",80,47,NA
"58","game_2022_1053","northern_illinois_huskies","northern_illinois_huskies",69,50,NA
"59","game_2022_1054","cleveland_state_vikings","cleveland_state_vikings",87,65,"South"
"60","game_2022_1055","siu_edwardsville_cougars","siu_edwardsville_cougars",68,56,NA
"61","game_2022_1056","east_carolina_pirates","east_carolina_pirates",76,66,"East"
"62","game_2022_1057","kansas_city_roos","kansas_city_roos",85,76,"South"
"63","game_2022_1058","old_dominion_monarchs","old_dominion_monarchs",61,51,NA
"64","game_2022_1059","colorado_buffaloes","colorado_buffaloes",67,51,"West"
"65","game_2022_106","old_dominion_monarchs","old_dominion_monarchs",80,52,NA
"66","game_2022_1060","utah_utes","utah_utes",93,77,"South"
"67","game_2022_1062","texas_tech_lady_raiders","texas_tech_lady_raiders",82,75,"West"
"68","game_2022_1063","app_state_mountaineers","app_state_mountaineers",71,56,"South"
