"","team","game_id","game_date","FGA_2","FGM_2","FGA_3","FGM_3","FTA","FTM","AST","BLK","STL","TOV","TOV_team","DREB","OREB","F_tech","F_personal","team_score","opponent_team_score","largest_lead","notD1_incomplete","OT_length_min_tot","rest_days","attendance","tz_dif_H_E","prev_game_dist","home_away","home_away_NS","travel_dist","region"
"1","abilene_christian_wildcats","game_2022_3695","2022-02-07","28","15","22","9","25","18","12","0","6","17","0","25","10","2","20","75","52","28","FALSE",NA,"2","102","0","1968","away","-1","1485","West"
"2","abilene_christian_wildcats","game_2022_3964","2022-02-12","37","18","25","6","17","13","15","4","7","13","1","16","15","0","17","67","73","3","FALSE",NA,"5","677","0","1485","home","1","0","West"
"3","abilene_christian_wildcats","game_2022_1921","2021-12-21","30","21","48","14","12","9","24","3","15","11","0","24","28","0","12","93","35","58","FALSE",NA,"2",NA,NA,NA,"home","0",NA,"West"
"4","abilene_christian_wildcats","game_2022_5002","2022-03-05","30","19","20","9","17","15","19","5","4","16","0","25","7","1","15","80","60","20","FALSE",NA,"3","1123",NA,"1503","away","-1","147","West"
"5","abilene_christian_wildcats","game_2022_1048","2021-11-28","20","14","28","14","15","11","18","3","7","16","2","20","5","0","15","81","69","18","FALSE",NA,"1",NA,"0","0","away","0","541","West"
"6","abilene_christian_wildcats","game_2022_2917","2022-01-22","35","15","37","12","6","5","18","0","6","20","1","33","12","0","19","71","77","5","FALSE",NA,"2","419",NA,"1574","away","-1","1648","West"
"7","abilene_christian_wildcats","game_2022_2797","2022-01-20","32","12","38","10","9","7","17","2","10","13","0","20","19","0","13","61","75","8","FALSE",NA,"5","236","0","2538","away","-1","2538","West"
"8","abilene_christian_wildcats","game_2022_4819","2022-03-02","29","18","43","12","16","9","20","3","4","10","0","21","14","0","12","81","95","0","FALSE",NA,"2","497",NA,"1957","away","-1","1361","West"
"9","abilene_christian_wildcats","game_2022_956","2021-11-27","31","9","21","11","22","15","13","2","9","16","0","19","14","0","20","66","61","7","FALSE",NA,"4",NA,"0","342","home","0","541","West"
"10","abilene_christian_wildcats","game_2022_489","2021-11-17","28","15","38","16","11","10","22","2","11","12","0","27","11","0","18","88","53","39","FALSE",NA,"4",NA,NA,NA,"home","0",NA,"West"
"11","abilene_christian_wildcats","game_2022_3264","2022-01-29","33","19","17","5","19","13","14","2","9","14","0","22","7","0","13","66","54","12","FALSE",NA,"2","546","0","0","home","1","0","West"
"12","abilene_christian_wildcats","game_2022_1685","2021-12-15","32","17","29","9","9","5","14","4","5","14","0","21","9","0","19","66","69","8","FALSE",NA,"3","251","0",NA,"home","1","0","West"
"13","abilene_christian_wildcats","game_2022_4684","2022-02-26","29","11","28","11","10","7","13","2","7","21","0","18","11","0","15","62","80","0","FALSE",NA,"9","722","0","0","home","1","0","West"
"14","abilene_christian_wildcats","game_2022_5129","2022-03-09","34","11","33","10","20","18","11","2","8","10","0","23","12","0","10","70","73","2","FALSE",NA,"4",NA,"-2","1626","home","0","1481","West"
"15","abilene_christian_wildcats","game_2022_4776","2022-02-28","34","9","26","9","20","15","15","1","7","11","0","20","14","0","19","60","70","9","FALSE",NA,"2","1086","0","597","away","-1","597","West"
